,ic_mean,icir,t-stat
high13,0.011487403742326603,0.06272428498228537,3.9917490530446362
high14,0.010706048834605113,0.05808045592946975,3.6962175817921032
high15,0.011241420244088952,0.06100985701943584,3.8826435255898297
high16,0.010437763555828043,0.056582165397793587,3.6008669562298805
high17,0.010786699223625133,0.0584050169391491,3.7168725179688757
high18,0.010377003622954305,0.05617862120971476,3.5751855613589743
high19,0.01090210577333058,0.05905216540710821,3.7580567942804293
high20,0.011367020899257953,0.06154419524252593,3.916648601879305
high21,0.011074827335725448,0.060091365331235755,3.824191072482751
high22,0.011008009124534937,0.05980231039334447,3.8057957288780964
high23,0.011288524973252143,0.06140865953163808,3.9080231620557484
high24,0.011871711653944057,0.06466603558413617,4.115321304659394
high25,0.012220436997996128,0.0665892546129458,4.2377142141874415
high26,0.011815830609468966,0.06442247461237008,4.099821179330258
high27,0.011830017648705522,0.06444871123292668,4.101490867638247
high28,0.011948709452130174,0.06512523086963853,4.14454431368348
high29,0.011652004949012893,0.06349270057631538,4.040650722002366
high30,0.011378935127414612,0.06195388754300301,3.9427212602273585
high31,0.011193540980057141,0.060789615030235625,3.8686274112239354
high32,0.01112659078968993,0.06046999101756906,3.848286663613143
high33,0.01104564366180864,0.05998857633194994,3.817649620624377
high34,0.010670383598251985,0.05805505232402367,3.694600906241128
high35,0.010307506883599991,0.0560621751712346,3.5677749808483274
high36,0.010011129572194778,0.0545955970571922,3.474442521186203
high37,0.009471836314767012,0.051703125286080634,3.2903667448492744
high38,0.009230676473225926,0.05044268425520962,3.2101527688299556
high39,0.009346946978943392,0.0510648684328359,3.249748327433142
high40,0.009509151663236091,0.051921118452088605,3.304239744983565
high41,0.009313063087061056,0.05096631696129361,3.24347655018903
high42,0.00874423345281345,0.04787190969541899,3.046549677658272
high43,0.008695891308213681,0.04762710592844728,3.0309704613265582
high44,0.008759826993214452,0.04809344404921067,3.0606480376031406
high45,0.008901175928356748,0.04897877753590588,3.1169903156879752
high46,0.008834693902734645,0.048741580092489384,3.1018951628231823
high47,0.00889056714089263,0.049173442813032237,3.1293787380645597
high48,0.008954815933670453,0.04960434412181384,3.156801129436106
high49,0.008917979837557854,0.04950165759426747,3.150266198839298
high50,0.008539039508621943,0.047491909239433534,3.0223665967229554
high51,0.008167540628209865,0.04553794620153532,2.898017150437243
high52,0.008173925998319485,0.045670406364027465,2.9064468635594167
high53,0.007929637788860003,0.04434072651309032,2.8218265560129874
high54,0.007423750392072267,0.04156377630836519,2.6451025271429214
high55,0.007139996232917526,0.04002081223989033,2.546908895107803
high56,0.007247188338783003,0.0407426781320089,2.592848159175992
high57,0.006913333184345126,0.03892566731443835,2.4772142988225814
high58,0.006786956560136225,0.03823876221581443,2.4334999260284085
high59,0.006641924102009749,0.03745961687492351,2.3839154201617596
high60,0.0065921579884004695,0.0372357578248887,2.3696691174538964
low1,0.015593639791256072,0.09342604573417733,5.945597143027318
low2,0.014295896570599176,0.08429989686937524,5.364812585669566
low3,0.021950973235737668,0.12614463826603192,8.02779562154117
low4,0.026977386069424607,0.1542132189635715,9.814069158997258
low5,0.024316110007784227,0.1374969222385237,8.750250549642557
low6,0.02090575533842701,0.11707416476610988,7.450554222708073
low7,0.019047761804569966,0.1056248935820344,6.721927066256757
low8,0.01660283477954865,0.09146502789334547,5.8207987318321175
low9,0.01538480092323329,0.08405774035093018,5.349401839202473
low10,0.013384598061678589,0.07314965062653601,4.655215259950536
low11,0.012138234794439736,0.06619370889709134,4.212541838971943
low12,0.012147474916016242,0.06591603288472246,4.1948706457532445
low13,0.011650638591387404,0.06305251221926396,4.012637306498028
low14,0.01115658476969816,0.060161374298073854,3.8286464158503084
low15,0.011267914010567013,0.06075613159831632,3.866496538664857
low16,0.011027351856748548,0.05934728625135076,3.7768381698014353
low17,0.010785768953733166,0.05815106078066492,3.700710847007933
low18,0.0108073642411112,0.0582428081145421,3.7065496115825636
low19,0.011113972661560967,0.05995159144986807,3.815295917141444
low20,0.01157280453329508,0.06252740892142303,3.979219937252621
low21,0.011337454374931652,0.06132025016574062,3.902396824462564
low22,0.011203570489564583,0.0607749432173387,3.867693702768681
low23,0.011561571294416392,0.06270084105888467,3.990257090895353
